municipio,populacao (em 1000 hab.),pop. urbana,% de pop urbana,taxa de cresc. demografico,taxa de mort. infantil,taxa de alfabetizacao
Itajai,101,94,93,"3,19",37,85
Blumenau,193,181,94,"4,6",27,90
Rio do Sul,42,39,94,"2,78",38,85
Joinville,304,292,96,"6,46",25,87
Curitibanos,42,32,76,"1,99",67,75
Lages,152,126,83,"1,89",63,78
Canoinhas,55,36,66,"2,92",41,81
Chapeco,105,77,73,"5,32",13,75
Concordia,68,25,37,"2,71",28,84
Florianopolis,219,186,85,"3,11",17,87
Criciuma,129,116,90,"3,11",32,85
Laguna,42,33,79,"1,21",32,77